,File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
173797,oa_package/7b/7e/PMC2606808.tar.gz,Diabetes Care. 2009 Jan; 32(1):169-174,PMC2606808,2011-01-12 03:04:21,18945929.0,CC BY-NC-ND
173798,oa_package/38/07/PMC2606809.tar.gz,Diabetes Care. 2009 Jan; 32(1):175-180,PMC2606809,2013-04-03 13:49:28,18945923.0,CC BY-NC-ND
173799,oa_package/a1/4f/PMC2606810.tar.gz,Diabetes Care. 2009 Jan; 32(1):181-183,PMC2606810,2013-04-03 13:49:28,18835942.0,CC BY-NC-ND
173800,oa_package/60/dc/PMC2606811.tar.gz,Diabetes Care. 2009 Jan; 32(1):184-186,PMC2606811,2013-04-03 13:49:28,18835943.0,CC BY-NC-ND
173801,oa_package/40/86/PMC2606812.tar.gz,Diabetes Care. 2009 Jan; 32(1):187-192,PMC2606812,2014-02-11 12:35:59,19092168.0,CC BY-NC-ND
173802,oa_package/32/39/PMC2606813.tar.gz,Diabetes Care. 2009 Jan; 32(1):193-203,PMC2606813,2014-02-11 11:08:33,18945920.0,CC BY-NC-ND
173804,oa_package/97/cd/PMC2606815.tar.gz,Diabetes Care. 2009 Jan; 32(1):206,PMC2606815,2009-12-31 19:22:19,19114629.0,CC BY-NC-ND
173807,oa_package/2c/c2/PMC2606818.tar.gz,Diabetes Care. 2009 Jan; 32(1):e1-e4,PMC2606818,2009-12-31 19:22:19,19114618.0,CC BY-NC-ND
173809,oa_package/e0/42/PMC2606820.tar.gz,Diabetes Care. 2009 Jan; 32(1):3-8,PMC2606820,2011-01-12 03:04:26,18835953.0,CC BY-NC-ND
173810,oa_package/c3/92/PMC2606821.tar.gz,Diabetes Care. 2009 Jan; 32(1):9-13,PMC2606821,2013-04-03 13:49:28,18840771.0,CC BY-NC-ND
173811,oa_package/73/1f/PMC2606822.tar.gz,Diabetes Care. 2009 Jan; 32(1):14-18,PMC2606822,2013-04-03 13:49:28,18931099.0,CC BY-NC-ND
173812,oa_package/2a/b1/PMC2606823.tar.gz,Diabetes Care. 2009 Jan; 32(1):19-24,PMC2606823,2013-04-03 13:49:28,18852334.0,CC BY-NC-ND
173813,oa_package/8d/b5/PMC2606824.tar.gz,Diabetes Care. 2009 Jan; 32(1):25-31,PMC2606824,2011-01-12 03:04:31,18931096.0,CC BY-NC-ND
173814,oa_package/f6/dd/PMC2606825.tar.gz,Diabetes Care. 2009 Jan; 32(1):32-37,PMC2606825,2009-12-31 19:22:19,18945928.0,CC BY-NC-ND
173815,oa_package/3c/80/PMC2606826.tar.gz,Diabetes Care. 2009 Jan; 32(1):38-44,PMC2606826,2011-01-12 03:04:34,18945922.0,CC BY-NC-ND
173816,oa_package/96/1b/PMC2606827.tar.gz,Diabetes Care. 2009 Jan; 32(1):45-47,PMC2606827,2011-01-12 03:04:34,18840769.0,CC BY-NC-ND
173817,oa_package/77/50/PMC2606828.tar.gz,Diabetes Care. 2009 Jan; 32(1):48-50,PMC2606828,2013-04-03 13:49:28,18835947.0,CC BY-NC-ND
173818,oa_package/bd/2d/PMC2606829.tar.gz,Diabetes Care. 2009 Jan; 32(1):51-53,PMC2606829,2011-01-12 03:04:35,18931098.0,CC BY-NC-ND
173819,oa_package/25/56/PMC2606830.tar.gz,Diabetes Care. 2009 Jan; 32(1):54-56,PMC2606830,2013-04-03 13:49:28,18931097.0,CC BY-NC-ND
173820,oa_package/81/9c/PMC2606831.tar.gz,Diabetes Care. 2009 Jan; 32(1):57-62,PMC2606831,2013-05-28 09:02:20,19114627.0,CC BY-NC-ND
173821,oa_package/f0/ce/PMC2606832.tar.gz,Diabetes Care. 2009 Jan; 32(1):63-68,PMC2606832,2011-01-12 03:04:38,18835950.0,CC BY-NC-ND
173822,oa_package/6a/de/PMC2606833.tar.gz,Diabetes Care. 2009 Jan; 32(1):69-74,PMC2606833,2013-04-03 13:49:28,18852335.0,CC BY-NC-ND
173823,oa_package/5c/09/PMC2606834.tar.gz,Diabetes Care. 2009 Jan; 32(1):75-80,PMC2606834,2013-04-03 13:49:29,18945927.0,CC BY-NC-ND
